agency_id,route_id,shape_id,stop_sequence,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,arrival_offset,departure_offset,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
cr_transit,R07,S07,24,,50th Ave & J St.,"grass, no sidewalk",41.93058847,-91.66621751,,,,,,,,,,,,
cr_transit,R07,S07,25,,J St & Miller Ave,"grass, no sidewalk",41.92417741,-91.66673744,,,,,,,,,,,,
cr_transit,R07,S07,26,,Miller Ave & Wyoming Dr,"grass, no sidewalk",41.92418116,-91.66401916,,,,,,,,,,,,
cr_transit,R07,S07,27,,Miller Ave & Vermont St,"grass, no sidewalk",41.92448061,-91.66250458,,,,,,,,,,,,
cr_transit,R07,S07,28,,71 Miller Ave  (Kirkwood Villages),grass to sidewalk,41.92451698,-91.66039641,,,,,,,,,,,,
cr_transit,R07,S07,29,,Miller Ave & Kirkwood Blvd,corner sidewalk,41.92434436,-91.65696673,,,,,,,0:14:00,0:14:00,,,,
cr_transit,R07,S07,30,,Kirkwood Blvd & Four Oaks Ave,corner sidewalk,41.9232476,-91.65694728,,,,,,,,,,,,
cr_transit,R07,S07,31,,Kirkwood Blvd & Kirkwood Ct  (Four Oaks),corner sidewalk,41.92139775,-91.65690071,,,,,,,,,,,,
cr_transit,R07,S07,32,,Kirkwood Blvd & Devonwood Ave,corner sidewalk,41.91928333,-91.65687201,,,,,,,,,,,,
cr_transit,R07,S07,33,,Kirkwood Community College Main Entrance Sign,concrete pad,41.91450599,-91.65496547,,,,,,,,,,,,
cr_transit,R07,S07,34,,Kirkwood Community College Linn Hall,concrete pad,41.91219582,-91.65199776,,,,,,,0:20:00,0:20:00,,,,
